Latitude (decimal degrees):	39.082
Longitude (decimal degrees):	-79.645
Elevation (m):	523
Radiation database:	PVGIS-ERA5


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	4.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230101:0030,0.0,0.0,0.0,7.82,2.0,0.0
20230101:0130,0.0,0.0,0.0,7.29,2.07,0.0
20230101:0230,0.0,0.0,0.0,6.93,2.07,0.0
20230101:0330,0.0,0.0,0.0,7.03,1.86,0.0
20230101:0430,0.0,0.0,0.0,7.09,2.07,0.0
20230101:0530,0.0,0.0,0.0,6.95,2.48,0.0
20230101:0630,0.0,0.0,0.0,6.57,2.69,0.0
20230101:0730,0.0,0.0,0.0,6.09,2.83,0.0
20230101:0830,0.0,0.0,0.0,5.4,2.41,0.0
20230101:0930,0.0,0.0,0.0,4.97,2.07,0.0
20230101:1030,0.0,0.0,0.0,4.35,1.66,0.0
20230101:1130,0.0,0.0,0.0,3.61,1.66,0.0
20230101:1230,0.0,0.0,-2.15,2.91,1.66,0.0
20230101:1330,629.12,194.1,7.6,2.48,1.52,0.0
20230101:1430,1474.8,426.22,16.03,3.16,1.45,0.0
20230101:1530,1934.24,562.93,22.61,4.97,1.72,0.0
20230101:1630,2083.32,608.72,26.73,6.74,2.48,0.0
20230101:1730,2118.28,624.65,27.88,8.08,2.41,0.0
20230101:1830,1896.56,559.05,25.9,9.13,2.9,0.0
20230101:1930,1332.16,395.39,21.07,11.08,3.03,0.0
20230101:2030,563.24,177.85,13.94,10.99,3.24,0.0
20230101:2130,17.68,14.56,5.11,10.04,2.21,0.0
20230101:2230,0.0,0.0,0.0,8.77,2.0,0.0
20230101:2330,0.0,0.0,0.0,7.89,2.0,0.0
20230102:0030,0.0,0.0,0.0,7.86,2.14,0.0
20230102:0130,0.0,0.0,0.0,7.86,2.21,0.0
20230102:0230,0.0,0.0,0.0,7.79,2.14,0.0
20230102:0330,0.0,0.0,0.0,7.53,2.0,0.0
20230102:0430,0.0,0.0,0.0,7.34,1.93,0.0
20230102:0530,0.0,0.0,0.0,7.11,1.86,0.0
20230102:0630,0.0,0.0,0.0,7.0,1.79,0.0
20230102:0730,0.0,0.0,0.0,6.37,1.79,0.0
20230102:0830,0.0,0.0,0.0,6.46,1.72,0.0
20230102:0930,0.0,0.0,0.0,6.02,1.66,0.0
20230102:1030,0.0,0.0,0.0,5.54,1.59,0.0
20230102:1130,0.0,0.0,0.0,5.4,1.45,0.0
20230102:1230,0.0,0.0,-2.17,5.03,1.38,0.0
20230102:1330,311.16,105.94,7.59,5.1,1.38,0.0
20230102:1430,908.8,271.42,16.04,6.8,1.31,0.0
20230102:1530,1546.92,456.98,22.65,8.96,1.45,0.0
20230102:1630,1470.32,438.41,26.79,11.15,1.72,0.0
20230102:1730,1588.52,478.0,27.97,12.82,1.79,0.0
20230102:1830,1837.92,555.23,26.01,13.87,2.28,0.0
20230102:1930,1246.16,377.3,21.19,14.62,2.83,0.0
20230102:2030,383.04,129.49,14.07,14.55,2.41,0.0
20230102:2130,12.28,12.33,5.24,13.59,2.07,0.0
20230102:2230,0.0,0.0,0.0,12.33,2.0,0.0
20230102:2330,0.0,0.0,0.0,11.28,1.79,0.0
20230103:0030,0.0,0.0,0.0,10.66,1.66,0.0
20230103:0130,0.0,0.0,0.0,10.31,1.59,0.0
20230103:0230,0.0,0.0,0.0,9.97,1.52,0.0
20230103:0330,0.0,0.0,0.0,9.81,1.59,0.0
20230103:0430,0.0,0.0,0.0,9.48,1.72,0.0
20230103:0530,0.0,0.0,0.0,9.64,1.79,0.0
20230103:0630,0.0,0.0,0.0,10.0,1.93,0.0
20230103:0730,0.0,0.0,0.0,9.73,1.79,0.0
20230103:0830,0.0,0.0,0.0,9.57,1.79,0.0
