Start Date,00:00:00,00:30:00,01:00:00,01:30:00,02:00:00,02:30:00,03:00:00,03:30:00,04:00:00,04:30:00,05:00:00,05:30:00,06:00:00,06:30:00,07:00:00,07:30:00,08:00:00,08:30:00,09:00:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,16:00:00,16:30:00,17:00:00,17:30:00,18:00:00,18:30:00,19:00:00,19:30:00,20:00:00,20:30:00,21:00:00,21:30:00,22:00:00,22:30:00,23:00:00,23:30:00
01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08892,3.78144,15.81372,36.1062,39.56472,44.5302,46.49112,42.67224,51.04944,62.18784,68.34672,45.97164,37.51488,19.7028,7.79688,1.75032,0.03744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-01,0,0.01872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.351,10.02456,37.86588,62.72136,87.9606,101.61684,107.55108,111.09852,106.07688,98.24256,83.48652,70.53228,52.31304,27.60732,14.58288,4.69872,0.61776,0.00936,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13572,9.243,27.46224,47.95596,69.83964,80.23392,103.36716,106.0722,85.56444,91.75608,94.1148,64.65888,52.25688,29.86308,8.55504,1.85796,0.07488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09464,4.49176,18.27956,28.96088,41.09248,59.8572,75.96524,79.7732,92.00568,99.03036,85.4256,68.97436,51.36872,30.38516,12.89184,1.7472,0.06604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17784,4.62124,13.35672,23.26116,34.13488,46.20564,49.00792,53.30832,58.7418,56.8724,44.3482,32.9316,32.27952,24.84612,13.73892,2.96088,0.09516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4134,4.95196,12.70308,19.06268,28.3218,43.32952,57.12304,66.99628,63.67868,63.6792,64.935,52.8372,50.18312,27.21056,11.77956,2.01604,0.0858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26572,8.99236,25.42696,34.6242,43.43144,57.03516,64.23612,67.84336,99.17804,76.66412,67.39096,68.62856,39.49348,30.76008,14.03272,2.95048,0.17472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38896,7.36944,21.60184,35.11404,45.36532,56.77464,58.05176,60.3486,69.64724,66.18768,66.79036,51.08376,39.80236,25.8336,13.86788,2.87924,0.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34164,8.87328,32.95656,50.10876,70.57908,81.48348,99.28152,104.15808,114.04224,119.06856,100.07712,81.13248,58.4766,41.82516,18.13032,4.02012,0.21996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31356,11.6298,36.56952,53.45964,68.78664,79.56936,88.70004,99.11772,90.74052,94.9806,87.9372,73.47132,59.84784,37.16856,18.89784,4.85316,0.1404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43524,7.75008,31.0284,48.63924,68.34672,81.8064,95.52816,107.0082,101.20032,97.91496,82.26972,67.63068,44.03412,28.9926,15.82308,4.95144,0.24336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3276,8.41932,30.88332,47.15568,76.76604,93.60468,106.26408,108.32328,94.6062,68.7024,61.64028,65.19708,55.24272,37.00944,20.51712,7.23996,0.28548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.936,8.77968,22.99284,42.11532,52.98228,57.81672,75.28716,81.6426,79.72848,76.92984,81.34308,70.20936,47.69388,31.80528,21.61692,4.90464,0.36036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54756,11.13372,37.07496,65.04732,86.3928,104.1066,124.15104,120.33216,124.8624,99.18324,79.39152,63.79308,57.17556,43.88436,19.19736,8.33976,0.5148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.404,18.41112,40.54284,56.56716,80.91252,99.60912,111.66012,117.87048,128.21796,127.66572,117.50076,104.29848,89.40204,67.52304,35.1234,12.11184,1.1466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13724,13.19292,44.33832,66.7368,76.46652,87.89508,97.61544,97.812,99.96948,107.39664,109.93788,91.03536,75.84876,57.56868,28.81944,11.4192,0.8424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23084,14.976,35.0064,55.07892,84.0762,120.744,125.95284,133.6842,163.15416,142.77276,123.13548,106.19856,90.207,62.67924,38.3058,14.37696,1.34784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00936,1.404,13.83408,24.4764,43.35552,73.79892,98.15832,114.99696,135.72,139.0662,144.04572,130.76388,114.8472,93.015,63.414,32.76936,14.4846,1.7082,0.02808,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00936,1.35252,10.8108,19.67472,35.81136,55.2006,66.00204,72.60084,77.89392,82.73772,88.04952,75.46032,66.88656,55.89324,48.62052,32.03928,12.83256,1.32912,0.00936,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10448,14.15232,31.94568,45.19008,63.96624,76.48524,83.6082,88.22268,101.09736,103.17996,101.66832,94.0914,83.6316,59.74956,36.64908,19.71216,2.74248,0.03744,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58652,15.3036,30.8646,46.94976,60.20352,75.64284,89.40204,98.2566,103.46076,98.99604,93.91824,94.91976,81.44136,56.50632,37.54764,16.34724,1.72692,0.0234,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04212,3.01392,19.67004,32.55876,43.58016,62.7354,61.9632,77.46804,85.3398,81.65664,90.19764,88.97148,65.34216,54.21312,53.9838,32.20308,11.99952,2.3166,0.01404,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3056,15.55164,29.72268,46.52856,68.4216,83.06532,86.50044,98.69652,88.86852,90.29592,84.24936,77.17788,80.70192,89.76708,38.98908,18.55152,2.6676,0.05148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82052,11.583,22.29552,35.17488,47.91384,64.233,95.8932,101.19096,119.1294,111.23424,80.87976,91.74204,75.23568,64.34532,29.2968,18.75276,3.84228,0.07488,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01404,5.92956,28.899,57.564,86.21964,110.32164,139.66524,143.57772,143.97084,151.55712,146.32488,133.64676,115.00164,95.37372,71.838,41.33844,18.42516,4.76892,0.13572,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81584,11.54556,33.63516,54.30204,72.54936,73.68192,55.91196,56.7216,64.43892,49.29444,66.61044,49.96368,45.43812,29.81628,20.25036,8.1432,1.66608,0.06084,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.27436,30.56976,52.0416,83.45376,88.803,93.93228,116.80812,134.56404,137.709,127.96992,125.19936,107.3358,96.7824,63.414,42.32124,20.124,4.35708,0.14508,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00936,3.94056,17.46576,31.65552,52.14924,74.27628,88.88724,95.72472,100.89612,106.85844,95.47668,66.91464,55.85112,44.39448,31.52448,29.12364,12.78108,5.03568,0.12168,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01872,4.53492,20.89152,62.20188,81.56304,106.0488,125.37252,147.27024,153.86904,153.26532,156.04524,131.51268,117.25272,86.82336,60.24564,41.45544,19.48752,4.58172,0.28548,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0702,10.61892,37.39788,66.86316,91.026,117.62244,138.39228,163.7064,173.277,170.41284,163.29456,159.18552,143.28288,116.26524,97.14744,56.63268,27.6822,9.95436,0.57564,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17784,6.29928,20.592,35.12808,53.87616,78.11388,86.463,87.20244,99.07092,116.94384,98.163,89.6454,66.17052,58.65912,41.93748,31.39812,18.38304,4.48344,0.3744,0,0,0,0,0,0,0,0,0,0,0,0,0,0
