Start Date,00:00:00,00:30:00,01:00:00,01:30:00,02:00:00,02:30:00,03:00:00,03:30:00,04:00:00,04:30:00,05:00:00,05:30:00,06:00:00,06:30:00,07:00:00,07:30:00,08:00:00,08:30:00,09:00:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,16:00:00,16:30:00,17:00:00,17:30:00,18:00:00,18:30:00,19:00:00,19:30:00,20:00:00,20:30:00,21:00:00,21:30:00,22:00:00,22:30:00,23:00:00,23:30:00,,
01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3135,13.332,55.7535,127.2975,139.491,156.9975,163.911,150.447,179.982,219.252,240.966,162.0795,132.264,69.465,27.489,6.171,0.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
02-01,0,0.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2375,35.343,133.5015,221.133,310.1175,358.2645,379.1865,391.6935,373.989,346.368,294.3435,248.6715,184.437,97.3335,51.414,16.566,2.178,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4785,32.5875,96.822,169.0755,246.2295,282.876,364.4355,373.9725,301.6695,323.499,331.815,227.964,184.239,105.2865,30.162,6.5505,0.264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333666667,15.83633333,64.44716667,102.1056667,144.8773333,211.035,267.8261667,281.2516667,324.379,349.1455,301.18,243.1788333,181.1076667,107.1271667,45.452,6.16,0.232833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.627,16.29283333,47.091,82.0105,120.3473333,162.9045,172.7843333,187.946,207.1025,200.5116667,156.3558333,116.105,113.806,87.5985,48.4385,10.439,0.3355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4575,17.45883333,44.7865,67.20816667,99.8525,152.7643333,201.3953333,236.2048333,224.5081667,224.51,228.9375,186.285,176.9276667,95.93466667,41.5305,7.107833333,0.3025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.936833333,31.70383333,89.64633333,122.0725,153.1236667,201.0855,226.4735,239.1913333,349.6661667,270.2901667,237.5963333,241.9596667,139.2398333,108.449,49.47433333,10.40233333,0.616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.371333333,25.982,76.16033333,123.7995,159.9418333,200.167,204.6696667,212.7675,245.5511667,233.354,235.4788333,180.103,140.3288333,91.08,48.89316667,10.15116667,0.229166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2045,31.284,116.193,176.6655,248.8365,287.2815,350.031,367.224,402.072,419.793,352.836,286.044,206.1675,147.4605,63.921,14.1735,0.7755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1055,41.0025,128.931,188.4795,242.517,280.533,312.7245,349.4535,319.9185,334.8675,310.035,259.0335,211.002,131.043,66.627,17.1105,0.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5345,27.324,109.395,171.4845,240.966,288.42,336.798,377.2725,356.796,345.213,290.0535,238.4415,155.2485,102.2175,55.7865,17.457,0.858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.155,29.6835,108.8835,166.254,270.6495,330.0165,374.649,381.909,333.5475,242.22,217.3215,229.8615,194.766,130.482,72.336,25.5255,1.0065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
13-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,30.954,81.0645,148.4835,186.7965,203.841,265.4355,287.8425,281.094,271.227,286.7865,247.533,168.1515,112.134,76.2135,17.292,1.2705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
14-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9305,39.2535,130.713,229.3335,304.59,367.0425,437.712,424.248,440.22,349.6845,279.906,224.9115,201.5805,154.7205,67.683,29.403,1.815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
15-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.95,64.911,142.9395,199.4355,285.2685,351.186,393.6735,415.569,452.0505,450.1035,414.2655,367.719,315.1995,238.062,123.8325,42.702,4.0425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
16-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0095,46.5135,156.321,235.29,269.5935,309.8865,344.157,344.85,352.4565,378.642,387.6015,320.958,267.4155,202.9665,101.607,40.26,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
17-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3395,52.8,123.42,194.1885,296.4225,425.7,444.0645,471.3225,575.223,503.3655,434.1315,374.418,318.0375,220.9845,135.0525,50.688,4.752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
18-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033,4.95,48.774,86.295,152.856,260.1885,346.071,405.438,478.5,490.2975,507.8535,461.0265,404.91,327.9375,223.575,115.533,51.0675,6.0225,0.099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
19-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033,4.7685,38.115,69.366,126.258,194.6175,232.6995,255.9645,274.626,291.7035,310.431,266.046,235.818,197.0595,171.4185,112.959,45.243,4.686,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
20-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.894,49.896,112.629,159.324,225.522,269.6595,294.7725,311.0415,356.433,363.7755,358.446,331.7325,294.855,210.6555,129.2115,69.498,9.669,0.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
21-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5935,53.955,108.8175,165.528,212.256,266.6895,315.1995,346.4175,364.7655,349.0245,331.122,334.653,287.133,199.221,132.3795,57.6345,6.0885,0.0825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
22-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1485,10.626,69.3495,114.7905,153.648,221.1825,218.46,273.1245,300.8775,287.892,318.0045,313.6815,230.373,191.136,190.3275,113.5365,42.306,8.1675,0.0495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
23-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.18,54.8295,104.7915,164.043,241.23,292.8585,304.9695,347.9685,313.3185,318.351,297.033,272.1015,284.526,316.4865,137.4615,65.406,9.405,0.1815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
24-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4185,40.8375,78.606,124.014,168.927,226.4625,338.085,356.763,420.0075,392.172,285.153,323.4495,265.254,226.8585,103.29,66.1155,13.5465,0.264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
25-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0495,20.9055,101.8875,202.95,303.9795,388.9545,492.4095,506.2035,507.5895,534.336,515.889,471.1905,405.4545,336.2535,253.275,145.7445,64.9605,16.8135,0.4785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
26-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.402,40.7055,118.5855,191.4495,255.783,259.776,197.1255,199.98,227.1885,173.7945,234.8445,176.154,160.1985,105.1215,71.3955,28.71,5.874,0.2145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
27-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5955,107.778,183.48,294.228,313.0875,331.1715,411.8235,474.4245,485.5125,451.176,441.408,378.4275,341.22,223.575,149.2095,70.95,15.3615,0.5115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
28-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033,13.893,61.578,111.606,183.8595,261.8715,313.3845,337.491,355.7235,376.7445,336.6165,235.917,196.911,156.519,111.144,102.6795,45.0615,17.754,0.429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
29-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066,15.9885,73.656,219.3015,287.562,373.89,442.0185,519.222,542.487,540.3585,550.1595,463.6665,413.391,306.108,212.4045,146.157,68.706,16.1535,1.0065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
30-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2475,37.4385,131.8515,235.7355,320.925,414.6945,487.9215,577.17,610.9125,600.8145,575.718,561.231,505.164,409.9095,342.507,199.6665,97.5975,35.0955,2.0295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
31-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.627,22.209,72.6,123.849,189.948,275.4015,304.8375,307.4445,349.2885,412.302,346.0875,316.0575,233.2935,206.811,147.8565,110.6985,64.812,15.807,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.627,23.3145,82.8135,147.477,255.684,350.2455,392.436,387.4035,378.9225,434.247,465.1845,375.2595,331.6665,249.843,161.073,114.0645,60.621,27.9675,3.069,0.066,0,0,0,0,0,0,0,0,0,0,0,0,0,,
02-02,0,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429,27.6045,71.75483333,200.6051667,267.432,336.2205,368.082,466.389,405.0915,478.0545,501.864,545.4075,456.9675,332.97,218.394,159.093,113.025,59.499,12.045,0.5775,0,0,0,0,0,0,0,0,0,0,0,0,0,,
03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9435,63.888,173.943,300.333,343.6125,409.2825,422.169,482.724,614.46,633.8145,605.979,521.3835,419.5455,325.71,225.9345,214.3185,125.7135,43.9725,4.653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
04-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0955,51.0015,167.079,294.195,375.441,374.5665,421.4595,501.303,467.082,456.5715,451.8525,360.8715,379.83,322.8225,288.0075,189.981,109.824,41.0355,6.2205,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,,
05-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.633,79.035,176.5005,263.406,312.939,446.985,541.761,530.2935,534.9465,470.3325,415.206,331.7655,272.5305,301.4055,252.7305,172.722,113.4045,52.0245,7.1115,0.099,0,0,0,0,0,0,0,0,0,0,0,0,0,,
06-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.94,79.893,181.2855,288.6015,382.1895,480.546,519.4365,622.842,651.717,612.48,571.626,512.226,434.3625,401.3295,322.245,175.2795,103.9995,54.813,8.9265,0.1815,0,0,0,0,0,0,0,0,0,0,0,0,0,,
07-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.399,38.577,100.155,188.76,256.113,306.5205,394.3995,463.1055,523.776,510.6255,465.2835,404.0025,367.5705,366.2175,275.88,189.2055,132.4785,48.2955,9.9495,0.066,0,0,0,0,0,0,0,0,0,0,0,0,0,,
08-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9205,22.572,57.2055,95.2215,123.6015,159.7035,215.1105,275.913,316.239,319.935,291.852,303.7155,279.8565,226.413,157.806,117.876,75.1575,31.086,6.0555,0.066,0,0,0,0,0,0,0,0,0,0,0,0,0,,
09-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.871,34.683,88.044,125.037,177.7215,240.339,281.2095,338.448,328.5645,389.0205,380.721,359.7165,311.0745,283.3545,230.4885,211.068,112.4475,42.0915,9.1245,0.1485,0,0,0,0,0,0,0,0,0,0,0,0,0,,
10-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.927,28.8255,89.628,146.7345,220.539,249.216,302.643,338.118,387.09,373.1145,352.3575,297.4455,259.8255,273.999,249.1995,208.7745,131.571,48.6915,13.9095,0.4125,0,0,0,0,0,0,0,0,0,0,0,0,0,,
11-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0055,51.645,112.2,151.074,222.3045,316.899,380.556,439.461,443.982,479.721,448.9485,400.1085,332.8215,267.63,244.101,194.8485,130.053,57.651,16.335,0.495,0,0,0,0,0,0,0,0,0,0,0,0,0,,
12-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0165,7.4085,38.478,89.1,174.669,247.995,289.179,398.508,379.7475,418.77,394.4655,330.3465,271.1115,253.011,205.0785,163.9275,196.02,146.025,70.8675,15.9555,0.8085,0,0,0,0,0,0,0,0,0,0,0,0,0,,
13-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2475,5.7585,39.006,85.0245,131.7525,194.2545,238.095,264.033,272.4315,337.0455,398.805,379.7805,367.158,336.798,294.6075,247.2525,212.9325,136.6695,64.515,20.13,1.1385,0,0,0,0,0,0,0,0,0,0,0,0,0,,
14-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2475,18.6945,82.632,163.482,247.0215,326.3865,394.812,497.409,479.424,492.7395,521.8125,449.691,463.7985,411.642,426.0465,419.826,321.156,192.093,85.206,23.727,1.683,0,0,0,0,0,0,0,0,0,0,0,0,0,,
15-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066,13.7115,61.2975,136.6365,204.006,284.856,318.978,371.811,365.3265,437.118,476.8665,422.6475,391.6275,362.142,317.7735,269.016,201.3,123.0735,70.158,26.2185,1.617,0,0,0,0,0,0,0,0,0,0,0,0,0,,
16-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435416667,16.13333333,67.77833333,167.4635417,238.1316667,280.1677083,365.344375,461.9908333,457.7145833,481.463125,486.1358333,356.4252083,291.6879167,296.6929167,236.933125,210.106875,167.8233333,134.1816667,71.72229167,24.20458333,1.643125,0,0,0,0,0,0,0,0,0,0,0,0,0,,
17-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.656333333,25.53833333,75.83033333,176.352,309.2576667,317.0328333,364.8956667,419.2851667,465.1056667,401.8611667,370.6908333,411.5851667,497.7591667,396.1833333,340.3895,290.2991667,228.954,158.9903333,77.165,28.688,2.036833333,0,0,0,0,0,0,0,0,0,0,0,0,0,,
