Start Date,00:00:00,00:30:00,01:00:00,01:30:00,02:00:00,02:30:00,03:00:00,03:30:00,04:00:00,04:30:00,05:00:00,05:30:00,06:00:00,06:30:00,07:00:00,07:30:00,08:00:00,08:30:00,09:00:00,09:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,16:00:00,16:30:00,17:00:00,17:30:00,18:00:00,18:30:00,19:00:00,19:30:00,20:00:00,20:30:00,21:00:00,21:30:00,22:00:00,22:30:00,23:00:00,23:30:00
01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.836,35.552,148.676,339.46,371.976,418.66,437.096,401.192,479.952,584.672,642.576,432.212,352.704,185.24,73.304,16.456,0.352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-01,0,0.176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,94.248,356.004,589.688,826.98,955.372,1011.164,1044.516,997.304,923.648,784.916,663.124,491.832,259.556,137.104,44.176,5.808,0.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.276,86.9,258.192,450.868,656.612,754.336,971.828,997.26,804.452,862.664,884.84,607.904,491.304,280.764,80.432,17.468,0.704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.889777778,42.23022222,171.8591111,272.2817778,386.3395556,562.76,714.2031111,750.0044444,865.0106667,931.0546667,803.1466667,648.4768889,482.9537778,285.6724444,121.2053333,16.42666667,0.620888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.672,43.44755556,125.576,218.6946667,320.9262222,434.412,460.7582222,501.1893333,552.2733333,534.6977778,416.9488889,309.6133333,303.4826667,233.596,129.1693333,27.83733333,0.894666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.886666667,46.55688889,119.4306667,179.2217778,266.2733333,407.3715556,537.0542222,629.8795556,598.6884444,598.6933333,610.5,496.76,471.8071111,255.8257778,110.748,18.95422222,0.806666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.498222222,84.54355556,239.0568889,325.5266667,408.3297778,536.228,603.9293333,637.8435556,932.4431111,720.7737778,633.5902222,645.2257778,371.3062222,289.1973333,131.9315556,27.73955556,1.642666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.656888889,69.28533333,203.0942222,330.132,426.5115556,533.7786667,545.7857778,567.38,654.8031111,622.2773333,627.9435556,480.2746667,374.2102222,242.88,130.3817778,27.06977778,0.611111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.212,83.424,309.848,471.108,663.564,766.084,933.416,979.264,1072.192,1119.448,940.896,762.784,549.78,393.228,170.456,37.796,2.068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.948,109.34,343.816,502.612,646.712,748.088,833.932,931.876,853.116,892.98,826.76,690.756,562.672,349.448,177.672,45.628,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.092,72.864,291.72,457.292,642.576,769.12,898.128,1006.06,951.456,920.568,773.476,635.844,413.996,272.58,148.764,46.552,2.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.08,79.156,290.356,443.344,721.732,880.044,999.064,1018.424,889.46,645.92,579.524,612.964,519.376,347.952,192.896,68.068,2.684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,82.544,216.172,395.956,498.124,543.576,707.828,767.58,749.584,723.272,764.764,660.088,448.404,299.024,203.236,46.112,3.388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.148,104.676,348.568,611.556,812.24,978.78,1167.232,1131.328,1173.92,932.492,746.416,599.764,537.548,412.588,180.488,78.408,4.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2,173.096,381.172,531.828,760.716,936.496,1049.796,1108.184,1205.468,1200.276,1104.708,980.584,840.532,634.832,330.22,113.872,10.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.692,124.036,416.856,627.44,718.916,826.364,917.752,919.6,939.884,1009.712,1033.604,855.888,713.108,541.244,270.952,107.36,7.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.572,140.8,329.12,517.836,790.46,1135.2,1184.172,1256.86,1533.928,1342.308,1157.684,998.448,848.1,589.292,360.14,135.168,12.672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088,13.2,130.064,230.12,407.616,693.836,922.856,1081.168,1276,1307.46,1354.276,1229.404,1079.76,874.5,596.2,308.088,136.18,16.06,0.264,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088,12.716,101.64,184.976,336.688,518.98,620.532,682.572,732.336,777.876,827.816,709.456,628.848,525.492,457.116,301.224,120.648,12.496,0.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.384,133.056,300.344,424.864,601.392,719.092,786.06,829.444,950.488,970.068,955.856,884.62,786.28,561.748,344.564,185.328,25.784,0.352,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.916,143.88,290.18,441.408,566.016,711.172,840.532,923.78,972.708,930.732,882.992,892.408,765.688,531.256,353.012,153.692,16.236,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.396,28.336,184.932,306.108,409.728,589.82,582.56,728.332,802.34,767.712,848.012,836.484,614.328,509.696,507.54,302.764,112.816,21.78,0.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.48,146.212,279.444,437.448,643.28,780.956,813.252,927.916,835.516,848.936,792.088,725.604,758.736,843.964,366.564,174.416,25.08,0.484,0,0,0,0,0,0,0,0,0,0,0,0,0,0
